"","Array","Species","ID","Location","Order","Trial","Session"
"445","Zarray","Japanese macaque","Rudy","5",4,22,4
"446","Zarray","Japanese macaque","Rudy","6",5,22,4
"447","Zarray","Japanese macaque","Rudy","1",6,22,4
"448","Zarray","Japanese macaque","Rudy","1022",7,22,4
"449","Zarray","Japanese macaque","Rudy","6",1,23,4
"450","Zarray","Japanese macaque","Rudy","4",2,23,4
"451","Zarray","Japanese macaque","Rudy","3",3,23,4
"452","Zarray","Japanese macaque","Rudy","2",4,23,4
"453","Zarray","Japanese macaque","Rudy","1",5,23,4
"454","Zarray","Japanese macaque","Rudy","5",6,23,4
"455","Zarray","Japanese macaque","Rudy","1023",7,23,4
"456","Zarray","Japanese macaque","Rudy","6",1,24,4
"457","Zarray","Japanese macaque","Rudy","5",2,24,4
"458","Zarray","Japanese macaque","Rudy","4",3,24,4
"459","Zarray","Japanese macaque","Rudy","3",4,24,4
"460","Zarray","Japanese macaque","Rudy","2",5,24,4
"461","Zarray","Japanese macaque","Rudy","1",6,24,4
"462","Zarray","Japanese macaque","Rudy","1024",7,24,4
"463","Zarray","Japanese macaque","Rudy","6",1,25,4
"464","Zarray","Japanese macaque","Rudy","4",2,25,4
"465","Zarray","Japanese macaque","Rudy","3",3,25,4
"466","Zarray","Japanese macaque","Rudy","2",4,25,4
"467","Zarray","Japanese macaque","Rudy","1",5,25,4
"468","Zarray","Japanese macaque","Rudy","5",6,25,4
"469","Zarray","Japanese macaque","Rudy","1025",7,25,4
