Array,Species,ID,Trial,Session,Dist (m),**Sessions cut off at <2 hours between successive trials.,,,
Pentagon,Vervet,PM,51234,1,,,,,
Pentagon,Vervet,PM,21543,2,,,,,
Pentagon,Vervet,PM,21543,2,,,,,
Pentagon,Vervet,PM,32154,2,,,,,
Pentagon,Vervet,PM,34512,3,,,,,
Pentagon,Vervet,PM,45123,3,,,,,
Pentagon,Vervet,PM,45123,3,,,,,
Pentagon,Vervet,PM,41235,3,,,,,
Pentagon,Vervet,PM,45123,3,,,,,
Pentagon,Vervet,PM,32154,3,,,,,
Pentagon,Vervet,PT,32154,1,,,,,
Pentagon,Vervet,PT,32154,1,,,,,
Pentagon,Vervet,PT,45123,2,,,,,
Pentagon,Vervet,PT,45123,2,,,,,
Pentagon,Vervet,PT,51234,2,,,,,
Pentagon,Vervet,PT,43215,3,,,,,
Pentagon,Vervet,PT,45123,3,,,,,
Pentagon,Vervet,PT,45123,3,,,,,
Pentagon,Vervet,PT,54321,3,,,,,
Pentagon,Vervet,PT,51234,3,,,,,
Pentagon,Vervet,PT,45123,3,,,,,
Pentagon,Vervet,PT,12543,3,,,,,
Pentagon,Vervet,PT,45123,3,,,,,
Pentagon,Vervet,PT,45123,3,,,,,
Pentagon,Vervet,PT,34512,3,,,,,
Pentagon,Vervet,PT,34512,4,,,,,
