"","ID","Array","DET","Species","Source"
"678","1608","Pentagon",0.264192139737991,"None","Learning_Factor1.2"
"679","1609","Pentagon",0.342318059299191,"None","Learning_Factor1.2"
"680","161","DT",0.371134020618557,"None","Learning_Factor1.2"
"681","1610","Pentagon",0.269311064718163,"None","Learning_Factor1.2"
"682","1611","Pentagon",0.331991951710261,"None","Learning_Factor1.2"
"683","1612","Pentagon",0.21218487394958,"None","Learning_Factor1.2"
"684","1613","Pentagon",0.415562913907285,"None","Learning_Factor1.2"
"685","1614","Pentagon",0.230769230769231,"None","Learning_Factor1.2"
"686","1615","Pentagon",0.304347826086957,"None","Learning_Factor1.2"
"687","1616","Pentagon",0.39907192575406,"None","Learning_Factor1.2"
"688","1617","Pentagon",0.294407894736842,"None","Learning_Factor1.2"
"689","1618","Pentagon",0.294491525423729,"None","Learning_Factor1.2"
"690","1619","Pentagon",0.329243353783231,"None","Learning_Factor1.2"
"691","162","DT",0.323803191489361,"None","Learning_Factor1.2"
"692","1620","Pentagon",0.368951612903226,"None","Learning_Factor1.2"
"693","1621","Pentagon",0.308157099697885,"None","Learning_Factor1.2"
"694","1622","Pentagon",0.227906976744186,"None","Learning_Factor1.2"
"695","1623","Pentagon",0.326530612244898,"None","Learning_Factor1.2"
"696","1624","Pentagon",0.376854599406528,"None","Learning_Factor1.2"
"697","1625","Pentagon",0.296900489396411,"None","Learning_Factor1.2"
"698","1626","Pentagon",0.372881355932203,"None","Learning_Factor1.2"
"699","1627","Pentagon",0.469101123595506,"None","Learning_Factor1.2"
"700","1628","Pentagon",0.414715719063545,"None","Learning_Factor1.2"
"701","1629","Pentagon",0.339066339066339,"None","Learning_Factor1.2"
"702","163","DT",0.311475409836066,"None","Learning_Factor1.2"
"703","1630","Pentagon",0.28125,"None","Learning_Factor1.2"
"704","1631","Pentagon",0.436285097192225,"None","Learning_Factor1.2"
"705","1632","Pentagon",0.217391304347826,"None","Learning_Factor1.2"
"706","1633","Pentagon",0.291989664082687,"None","Learning_Factor1.2"
"707","1634","Pentagon",0.396856581532417,"None","Learning_Factor1.2"
"708","1635","Pentagon",0.162303664921466,"None","Learning_Factor1.2"
"709","1636","Pentagon",0.23644578313253,"None","Learning_Factor1.2"
"710","1637","Pentagon",0.361038961038961,"None","Learning_Factor1.2"
"711","1638","Pentagon",0.298728813559322,"None","Learning_Factor1.2"
"712","1639","Pentagon",0.252129471890971,"None","Learning_Factor1.2"
"713","164","DT",0.331550802139038,"None","Learning_Factor1.2"
"714","1640","Pentagon",0.277136258660508,"None","Learning_Factor1.2"
"715","1641","Pentagon",0.330645161290323,"None","Learning_Factor1.2"
"716","1642","Pentagon",0.394444444444444,"None","Learning_Factor1.2"
"717","1643","Pentagon",0.255411255411255,"None","Learning_Factor1.2"
"718","1644","Pentagon",0.228893058161351,"None","Learning_Factor1.2"
"719","1645","Pentagon",0.436708860759494,"None","Learning_Factor1.2"
"720","1646","Pentagon",0.19774011299435,"None","Learning_Factor1.2"
"721","1647","Pentagon",0.22972972972973,"None","Learning_Factor1.2"
"722","1648","Pentagon",0.313883299798793,"None","Learning_Factor1.2"
"723","1649","Pentagon",0.310756972111554,"None","Learning_Factor1.2"
"724","165","DT",0.349553128103277,"None","Learning_Factor1.2"
"725","1650","Pentagon",0.256619144602851,"None","Learning_Factor1.2"
"726","1651","Pentagon",0.192419825072886,"None","Learning_Factor1.2"
"727","1652","Pentagon",0.343362831858407,"None","Learning_Factor1.2"
"728","1653","Pentagon",0.368043087971275,"None","Learning_Factor1.2"
"729","1654","Pentagon",0.380863039399625,"None","Learning_Factor1.2"
"730","1655","Pentagon",0.334975369458128,"None","Learning_Factor1.2"
"731","1656","Pentagon",0.378923766816143,"None","Learning_Factor1.2"
"732","1657","Pentagon",0.300847457627119,"None","Learning_Factor1.2"
"733","1658","Pentagon",0.426605504587156,"None","Learning_Factor1.2"
"734","1659","Pentagon",0.253493013972056,"None","Learning_Factor1.2"
"735","166","DT",0.356860158311346,"None","Learning_Factor1.2"
"736","1660","Pentagon",0.273381294964029,"None","Learning_Factor1.2"
"737","1661","Pentagon",0.312977099236641,"None","Learning_Factor1.2"
"738","1662","Pentagon",0.280087527352298,"None","Learning_Factor1.2"
"739","1663","Pentagon",0.288073394495413,"None","Learning_Factor1.2"
"740","1664","Pentagon",0.247887323943662,"None","Learning_Factor1.2"
"741","1665","Pentagon",0.282485875706215,"None","Learning_Factor1.2"
"742","1666","Pentagon",0.294807370184255,"None","Learning_Factor1.2"
"743","1667","Pentagon",0.427698574338086,"None","Learning_Factor1.2"
"744","1668","Pentagon",0.257425742574257,"None","Learning_Factor1.2"
"745","1669","Pentagon",0.359861591695502,"None","Learning_Factor1.2"
"746","167","DT",0.36210253082414,"None","Learning_Factor1.2"
"747","1670","Pentagon",0.258351893095768,"None","Learning_Factor1.2"
"748","1671","Pentagon",0.276955602536998,"None","Learning_Factor1.2"
"749","1672","Pentagon",0.242424242424242,"None","Learning_Factor1.2"
"750","1673","Pentagon",0.288659793814433,"None","Learning_Factor1.2"
"751","1674","Pentagon",0.273224043715847,"None","Learning_Factor1.2"
"752","1675","Pentagon",0.336886993603411,"None","Learning_Factor1.2"
"753","1676","Pentagon",0.340672074159907,"None","Learning_Factor1.2"
"754","1677","Pentagon",0.294964028776978,"None","Learning_Factor1.2"
